2025-08-20T12:55:27.956670,IW25030937,-99
2025-08-20T12:55:31.007219,IW25030937,-100
2025-08-20T12:55:31.539179,IW25030937,-97
2025-08-20T12:55:33.065004,IW25030937,-93
2025-08-20T12:55:36.180276,IW25030937,-83
2025-08-20T12:55:37.681597,IW25030937,-89
2025-08-20T12:55:39.732687,IW25030937,-93
2025-08-20T12:55:40.259073,IW25030937,-92
2025-08-20T12:55:30.698655,IW25030947,-100
2025-08-20T12:55:37.676146,IW25030896,-100
2025-08-20T12:55:47.244973,IW25030944,-87
2025-08-20T12:55:47.743306,IW25030944,-94
2025-08-20T12:55:49.257970,IW25030944,-87
2025-08-20T12:55:50.270262,IW25030944,-87
2025-08-20T12:55:51.796356,IW25030944,-88
2025-08-20T12:55:52.294042,IW25030944,-77
2025-08-20T12:55:54.327813,IW25030944,-70
2025-08-20T12:55:58.340595,IW25030944,-90
2025-08-20T12:55:59.839735,IW25030944,-94
2025-08-20T12:55:51.864373,IW25030945,-98
2025-08-20T12:55:53.899079,IW25030945,-99
2025-08-20T12:55:54.395547,IW25030945,-91
2025-08-20T12:55:55.899907,IW25030945,-99
2025-08-20T12:55:57.398268,IW25030945,-87
2025-08-20T12:55:57.900343,IW25030945,-80
2025-08-20T12:55:59.402720,IW25030945,-81
2025-08-20T12:55:59.901925,IW25030945,-78
2025-08-20T12:55:56.594669,IW25030946,-96
2025-08-20T12:55:58.610590,IW25030946,-94
